0,1,2,3
148,11.70,4.5,1.60
185,7.18,4.5,2.60
249,16.66,4.8,2.30
145,9.57,6,2.90
134,8.51,4.5,2.00
77,5.32,4.5,2.40
126,0,0,0
112,0,0,0
118,0,0,0
157,0,0,0
119,0,0,0
66,0,0,0
160,0,0,0
172,0,0,0
131,0,0,0
139,0,0,0
190,0,0,0
146,0,0,0
71,0,0,0
68,0,0,0
538,0,0,0
488,0,0,0
527,0,0,0
378,0,0,0
